cleanlab_row_ID,image,pose,eye,expression,cleanlab_is_label_issue,cleanlab_is_ambiguous,cleanlab_is_outlier,cleanlab_action,cleanlab_suggested_label_original,cleanlab_suggested_label_pred,cleanlab_ambiguous_score,cleanlab_outlier_score,cleanlab_predicted_label_prob,cleanlab_predicted_label,cleanlab_top_labels,cleanlab_top_probs
1,an2i_left_angry_open.png,left,open,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.990293834,0.411777556,0.337302481,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.33730248145464675, 0.28960079282559226, 0.23332126825980007, 0.139775457459961]"
2,an2i_left_angry_sunglasses.png,left,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,sad,sad,0.98008726,0.577622354,0.322969446,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.3229694455176649, 0.253601403126597, 0.22353172871762847, 0.19989742263810958]"
3,an2i_left_happy_open.png,left,open,happy,TRUE,TRUE,FALSE,unresolved,neutral,neutral,0.999028017,0.454113722,0.28370821,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.2837082095145724, 0.2747595607296174, 0.23995041896392535, 0.2015818107918848]"
4,an2i_left_happy_sunglasses.png,left,sunglasses,happy,TRUE,TRUE,FALSE,unresolved,neutral,neutral,0.994191338,0.392120361,0.32812423,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.32812422980070866, 0.2632359748355468, 0.23335665974724468, 0.17528313561649986]"
5,an2i_left_neutral_open.png,left,open,neutral,FALSE,FALSE,FALSE,,,,0.991847637,0.409386277,0.296772344,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.29677234399613917, 0.267017628859475, 0.22525960637219128, 0.21095042077219456]"
6,an2i_left_neutral_sunglasses.png,left,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.993085701,0.476959109,0.298781845,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.298781844507917, 0.24554700478726457, 0.2284422624944104, 0.22722888821040807]"
7,an2i_left_sad_open.png,left,open,sad,FALSE,FALSE,FALSE,,,,0.97272291,0.514628351,0.319091738,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.3190917376697076, 0.2681191657704077, 0.23935048046438673, 0.17343861609549813]"
8,an2i_left_sad_sunglasses.png,left,sunglasses,sad,FALSE,FALSE,FALSE,,,,0.9828466,0.440640271,0.287512587,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.287512586607961, 0.278951232594866, 0.2398933737721247, 0.1936428070250484]"
9,an2i_right_angry_open.png,right,open,angry,TRUE,FALSE,FALSE,unresolved,happy,happy,0.991265605,0.428915203,0.317923136,happy,"[""happy"", ""neutral"", ""sad"", ""angry""]","[0.317923135847838, 0.3017240714545417, 0.2501043785060309, 0.13024841419158942]"
10,an2i_right_angry_sunglasses.png,right,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.976919549,0.400347054,0.399868728,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.39986872761531944, 0.24060037716507918, 0.21049314365595656, 0.14903775156364474]"
11,an2i_right_happy_open.png,right,open,happy,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.988614338,0.379796147,0.327125671,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.3271256705020052, 0.3154033530454749, 0.23256112293691625, 0.12490985351560369]"
12,an2i_right_happy_sunglasses.png,right,sunglasses,happy,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.983375047,0.4917171,0.371182093,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.3711820928718218, 0.29966393649383644, 0.19256510395563636, 0.13658886667870532]"
13,an2i_right_neutral_open.png,right,open,neutral,FALSE,FALSE,FALSE,,,,0.984502314,0.440436542,0.312641757,neutral,"[""neutral"", ""sad"", ""angry"", ""happy""]","[0.3126417574124333, 0.2832804527362102, 0.20239040695361513, 0.2016873828977414]"
14,an2i_right_neutral_sunglasses.png,right,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.987339464,0.379129827,0.333859397,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.3338593969197869, 0.24968449898932954, 0.21311690307367853, 0.20333920101720507]"
15,an2i_right_sad_open.png,right,open,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.983225712,0.436276078,0.35763984,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.35763983965424434, 0.2814750516332538, 0.24161180284448594, 0.11927330586801602]"
16,an2i_right_sad_sunglasses.png,right,sunglasses,sad,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.978829128,0.399490237,0.390892593,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.39089259277613697, 0.23558152355614895, 0.22147436623035263, 0.15205151743736148]"
17,an2i_straight_angry_open.png,straight,open,angry,TRUE,FALSE,FALSE,unresolved,happy,happy,0.989876368,0.478593469,0.3161577,happy,"[""happy"", ""sad"", ""neutral"", ""angry""]","[0.31615770038513324, 0.28480143820236814, 0.2682824901284916, 0.130758371284007]"
18,an2i_straight_angry_sunglasses.png,straight,sunglasses,angry,TRUE,FALSE,FALSE,unresolved,neutral,neutral,0.981793659,0.455992162,0.381542433,neutral,"[""neutral"", ""happy"", ""sad"", ""angry""]","[0.3815424330997704, 0.24424697757341196, 0.2227430410899199, 0.15146754823689787]"
19,an2i_straight_happy_open.png,straight,open,happy,FALSE,FALSE,FALSE,,,,0.999539102,0.520276546,0.284522954,happy,"[""happy"", ""neutral"", ""sad"", ""angry""]","[0.2845229541681998, 0.27012465490638643, 0.24330838066453467, 0.20204401026087915]"
20,an2i_straight_happy_sunglasses.png,straight,sunglasses,happy,FALSE,FALSE,FALSE,,,,0.992854395,0.550546646,0.301913342,happy,"[""happy"", ""neutral"", ""sad"", ""angry""]","[0.30191334206042014, 0.29817031547586786, 0.2605973145677758, 0.13931902789593614]"
21,an2i_straight_neutral_open.png,straight,open,neutral,TRUE,FALSE,FALSE,unresolved,sad,sad,0.971942845,0.521505296,0.361006462,sad,"[""sad"", ""neutral"", ""happy"", ""angry""]","[0.3610064616048828, 0.28031510374450486, 0.2225533162340177, 0.13612511841659466]"
22,an2i_straight_neutral_sunglasses.png,straight,sunglasses,neutral,FALSE,FALSE,FALSE,,,,0.987517715,0.482262313,0.323896042,neutral,"[""neutral"", ""sad"", ""happy"", ""angry""]","[0.3238960418767916, 0.2698968972096573, 0.216299203285936, 0.18990785762761503]"
23,an2i_straight_sad_open.png,straight,open,sad,FALSE,FALSE,FALSE,,,,0.986611964,0.465374887,0.283478416,sad,"[""sad"", ""neutral"", ""angry"", ""happy""]","[0.2834784163661257, 0.2711200159702535, 0.23866432492894943, 0.2067372427346713]"
