text,label
Oh great. I.ll disturb him more so that we can talk.,0
I dont know jack shit about anything or id sayask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,0
jay says hell put in ltgt,0
A little. Meds say take once every number hours. Its only been number but pain is back. So I took another. Hope I dont die,0
Lol your right. What diet? Everyday I cheat anyway. Im meant to be a fatty emoji,0
Should I head straight there or what,0
You all ready for big day tomorrow?,0
Hey ive booked the number lessons on sun liao,0
Nah Wednesday. When should I bring the mini cheetos bag over?,0
So wats ur opinion abt him and how abt is character?,0
Looks like u wil b getting a headstart im leaving here bout number ish but if u r desperate for my company I could head in earlierwe were goin to meet in rummer.,0
Apart from the one i told you about yesterday?,0
Goodo! Yes we must speak friday eggpotato ratio for tortilla needed!,0
U calling me right? Call my hand phone,0
Check with nuerologist.,0
I anything lor.,0
Jason says its cool if we pick some up from his place in like an hour,0
Its ok. i just askd did u knw tht no?,0
Yo dude guess who just got arrested the other day,0
Havent still waitin as usual come back sch oredi?,0
O shore are you takin the bus,0
swhrt how u deyhope ur ok tot about u number day.love n miss.take care.,0
Can come my room but cannot come my house cos my house still messy Haha,0
Alright were all set here text the man,0
Although i told u dat im into baig face watches now but i really like e watch u gave cos its fr u. Thanx number everything dat uve done today im touched,0
Gd luck number ur exams emoji,0
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to number NOW! Optout txt ENG STOP. Box number W number WX currency number,1
Mum not going robinson already.,0
No dice art class number thru number emoji thanks though. Any idea what time I should come tomorrow?,0
Is there a reason weve not spoken this year? Anyways have a great week and all the best in your exam,0
How come i din c Yup i cut my hair,0
Urgent! Please call number from landline. Your ABTA complimentary number Tenerife Holiday or number cash await collection SAE TCs Box number CW number WX number ppm,1
Good afternon my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea,0
Hiya sorry didnt hav signal. I havent seen or heard from and neither has which is unusual in itself! Ill put on the case and get him to sort it out! Hugs and snogs.,0
